"Metric","phy_var_rank_simulation_data_Good","phy_var_rank_simulation_data_UC1","phy_var_rank_simulation_data_UC2_st","phy_var_rank_simulation_data_UC2_wk","phy_var_rank_simulation_data_UC3"
"pearson_corr",1,6,11,2,3
"ols_r2",2,7,18,9,7
"adjusted_r2",3,13,19,11,10
"spearman_corr",4,10,14,3,2
"R_median",5,21,23,7,21
"cn_smape",6,3,8,1,1
"R_geo",7,5,17,8,4
"pic_spearman",8,1,7,21,6
"rmse",9,8,2,4,11
"see",10,9,3,5,12
"mae",11,17,5,6,16
"median_ae",12,20,15,12,22
"mse",13,16,16,13,19
"smape",14,18,9,10,15
"pic_mae",15,15,6,14,18
"whitened_mae",16,14,10,15,17
"pic_rmse",17,11,4,16,14
"whitened_rmse",18,12,12,17,13
"mape",19,19,20,18,20
"pic_r2",20,4,13,20,8
"R_whole",21,25,22,22,24
"pic_pearson",22,2,1,23,5
"R_ari",23,23,24,24,23
"percent_see",24,24,21,25,25
"whitened_r2",25,22,25,19,9
